# Time-averaged data for fix outN
# TimeStep Number-of-rows
# Row c_grN[1] c_grN[2] c_grN[3] c_grN[4] c_grN[5]
20000000 400
302 7.5375 1.04841 57.7489 1.0362 115.507
303 7.5625 1.04972 58.382 1.03684 116.758
304 7.5875 1.04685 59.0176 1.03827 118.018
305 7.6125 1.04853 59.6583 1.03457 119.283
306 7.6375 1.04781 60.3029 1.03413 120.555
307 7.6625 1.05705 60.9573 1.033 121.834
308 7.6875 1.05224 61.6131 1.0336 123.122
309 7.7125 1.04595 62.2692 1.03478 124.421
310 7.7375 1.04764 62.9306 1.03039 125.722
311 7.7625 1.05563 63.6014 1.03148 127.033
312 7.7875 1.05265 64.2746 1.03213 128.353
313 7.8125 1.04273 64.9458 1.02988 129.678
314 7.8375 1.04107 65.6201 1.03229 131.016
315 7.8625 1.03567 66.2953 1.03139 132.361
316 7.8875 1.03811 66.9764 1.03152 133.714
317 7.9125 1.03618 67.6605 1.03011 135.074
318 7.9375 1.03828 68.3503 1.03212 136.446
319 7.9625 1.03416 69.0418 1.02842 137.821
320 7.9875 1.03383 69.7373 1.03039 139.207
321 8.0125 1.02804 70.4333 1.02683 140.598
322 8.0375 1.02431 71.1311 1.02437 141.994
323 8.0625 1.02021 71.8305 1.02471 143.398
324 8.0875 1.0182 72.5328 1.02899 144.818
325 8.1125 1.02034 73.2409 1.02632 146.242
326 8.1375 1.02551 73.9571 1.02043 147.668
327 8.1625 1.01925 74.6732 1.02211 149.104
328 8.1875 1.01779 75.3927 1.01985 150.546
329 8.2125 1.0251 76.1218 1.01549 151.99
330 8.2375 1.02133 76.8526 1.01468 153.442
331 8.2625 1.02972 77.5939 1.01332 154.902
332 8.2875 1.02843 78.3388 1.01768 156.376
333 8.3125 1.03508 79.093 1.01275 157.852
334 8.3375 1.02804 79.8467 1.01769 159.344
335 8.3625 1.028 80.6048 1.01364 160.839
336 8.3875 1.01418 81.3572 1.0126 162.341
337 8.4125 1.02025 82.1186 1.01193 163.852
338 8.4375 1.01789 82.8827 1.01655 165.378
339 8.4625 1.01736 83.6511 1.01352 166.909
340 8.4875 1.01521 84.4223 1.01427 168.45
341 8.5125 1.01255 85.196 1.01239 169.997
342 8.5375 1.00786 85.9707 1.00983 171.549
343 8.5625 1.00367 86.7467 1.00902 173.11
344 8.5875 1.00667 87.5296 1.01068 174.682
345 8.6125 1.00612 88.3166 1.01093 176.263
346 8.6375 1.00143 89.1045 1.01408 177.859
347 8.6625 0.999982 89.8958 1.0103 179.458
348 8.6875 0.997094 90.6893 1.01275 181.07
349 8.7125 0.986814 91.4793 1.01254 182.691
350 8.7375 0.989615 92.276 1.01334 184.323
351 8.7625 0.987039 93.0752 1.00766 185.954
352 8.7875 0.985557 93.8778 1.00958 187.599
353 8.8125 0.993734 94.6916 1.00519 189.245
354 8.8375 0.990008 95.507 1.00855 190.906
355 8.8625 0.993449 96.3298 1.00647 192.574
356 8.8875 0.990281 97.1547 1.01118 194.258
357 8.9125 0.991652 97.9853 1.00183 195.936
358 8.9375 0.993549 98.8223 1.00565 197.631
359 8.9625 0.985151 99.6568 1.00317 199.33
360 8.9875 0.988336 100.499 0.99771 201.03
361 9.0125 0.986813 101.344 1.00208 202.747
362 9.0375 0.993662 102.2 0.999841 204.469
363 9.0625 0.987194 103.055 0.995943 206.194
364 9.0875 0.992988 103.92 0.998965 207.934
365 9.1125 0.995433 104.791 0.997965 209.682
366 9.1375 0.994939 105.667 0.997225 211.438
367 9.1625 0.994171 106.547 0.997263 213.204
368 9.1875 0.99402 107.432 0.997559 214.98
369 9.2125 0.994012 108.322 0.995937 216.762
370 9.2375 0.990623 109.213 0.995254 218.554
371 9.2625 0.988322 110.107 0.99717 220.358
372 9.2875 0.990528 111.008 0.99926 222.176
373 9.3125 0.994807 111.918 0.997089 224
374 9.3375 0.995382 112.833 0.992342 225.824
375 9.3625 0.99638 113.754 0.99575 227.665
376 9.3875 0.991182 114.676 0.993122 229.511
377 9.4125 0.994492 115.605 0.994755 231.37
378 9.4375 0.987697 116.532 0.992848 233.235
379 9.4625 0.99072 117.468 0.99718 235.118
380 9.4875 0.99141 118.409 0.996749 237.01
381 9.5125 0.993714 119.357 0.997078 238.913
382 9.5375 1.0001 120.316 0.994303 240.821
383 9.5625 0.995608 121.277 0.997809 242.745
384 9.5875 0.997484 122.243 0.995431 244.675
385 9.6125 0.99651 123.214 0.999753 246.623
386 9.6375 0.99517 124.189 0.997112 248.577
387 9.6625 0.995562 125.169 0.995128 250.536
388 9.6875 0.994669 126.154 0.996708 252.509
389 9.7125 0.998653 127.147 0.997927 254.494
390 9.7375 1.00113 128.148 0.999057 256.492
391 9.7625 1.00364 129.157 0.999128 258.501
392 9.7875 1.00485 130.172 0.999549 260.52
393 9.8125 0.997961 131.185 0.999069 262.549
394 9.8375 0.998197 132.204 0.998571 264.587
395 9.8625 0.998997 133.229 0.999479 266.638
396 9.8875 1.00151 134.261 1.00142 268.702
397 9.9125 1.00827 135.306 0.999118 270.773
398 9.9375 1.00582 136.353 1.00103 272.858
399 9.9625 1.0028 137.403 1.00154 274.954
400 9.9875 1.00092 138.456 1.00289 277.064
