# Time-averaged data for fix outW
# TimeStep Number-of-rows
# Row c_grW[1] c_grW[2] c_grW[3] c_grW[4] c_grW[5] c_grW[6] c_grW[7]
20000000 400
199 4.9625 0.979517 32.8086 1.02991 16.8308 0.989604 33.2667
200 4.9875 0.982582 33.3241 1.02483 17.0991 0.986752 33.7839
201 5.0125 0.985489 33.8463 1.01865 17.3685 0.983402 34.3045
202 5.0375 0.988413 34.3753 1.01333 17.6391 0.980389 34.8287
203 5.0625 0.991158 34.911 1.00603 17.9105 0.977939 35.3568
204 5.0875 0.993888 35.4536 0.999755 18.1828 0.974886 35.8884
205 5.1125 0.996693 36.003 0.995138 18.4566 0.972263 36.4239
206 5.1375 0.999375 36.5594 0.989124 18.7313 0.969556 36.9631
207 5.1625 1.00204 37.1226 0.982444 19.0069 0.967435 37.5063
208 5.1875 1.0042 37.6926 0.976792 19.2836 0.96534 38.0537
209 5.2125 1.0063 38.2692 0.970469 19.5611 0.963274 38.6052
210 5.2375 1.00811 38.8525 0.965281 19.8398 0.961874 39.1611
211 5.2625 1.01021 39.4425 0.960233 20.1197 0.960379 39.7215
212 5.2875 1.01188 40.0392 0.954198 20.4004 0.959311 40.2866
213 5.3125 1.01355 40.6425 0.948918 20.6823 0.958547 40.8566
214 5.3375 1.0143 41.2519 0.943567 20.9652 0.957978 41.4317
215 5.3625 1.01527 41.8677 0.938824 21.2494 0.957901 42.0121
216 5.3875 1.01591 42.4896 0.933888 21.5346 0.957493 42.5976
217 5.4125 1.01644 43.1176 0.928781 21.821 0.957807 43.1889
218 5.4375 1.01667 43.7516 0.924235 22.1086 0.958427 43.7859
219 5.4625 1.01668 44.3914 0.919419 22.3974 0.959135 44.389
220 5.4875 1.01624 45.0369 0.915329 22.6875 0.960179 44.9982
221 5.5125 1.01593 45.688 0.912539 22.9793 0.961321 45.6137
222 5.5375 1.015 46.3444 0.910196 23.2731 0.962663 46.2357
223 5.5625 1.01445 47.0064 0.907667 23.5687 0.964494 46.8645
224 5.5875 1.01331 47.6736 0.905735 23.8663 0.966271 47.5001
225 5.6125 1.01225 48.3461 0.905276 24.1664 0.968082 48.1426
226 5.6375 1.01082 49.0237 0.904406 24.4689 0.970302 48.7924
227 5.6625 1.00921 49.7062 0.904334 24.7741 0.972317 49.4493
228 5.6875 1.00725 50.3934 0.905329 25.0823 0.974307 50.1133
229 5.7125 1.00534 51.0853 0.906528 25.3937 0.976815 50.785
230 5.7375 1.00319 51.7818 0.908243 25.7084 0.979337 51.4643
231 5.7625 1.00075 52.4827 0.910701 26.0266 0.98135 52.1509
232 5.7875 0.998452 53.188 0.913535 26.3487 0.983823 52.8452
233 5.8125 0.996069 53.8978 0.916902 26.6747 0.986046 53.5471
234 5.8375 0.993781 54.612 0.920737 27.0049 0.988484 54.2569
235 5.8625 0.991228 55.3305 0.924777 27.3395 0.990407 54.9741
236 5.8875 0.988722 56.0533 0.929413 27.6785 0.992397 55.6989
237 5.9125 0.986396 56.7806 0.934339 28.0223 0.994538 56.4314
238 5.9375 0.983812 57.5121 0.938276 28.3704 0.996258 57.1715
239 5.9625 0.981781 58.2482 0.943516 28.7235 0.998078 57.9191
240 5.9875 0.979588 58.9889 0.948367 29.0813 0.999594 58.6742
241 6.0125 0.977799 59.7344 0.953638 29.4441 1.00115 59.4368
242 6.0375 0.976034 60.4848 0.957701 29.8116 1.00226 60.2065
243 6.0625 0.974643 61.2403 0.962487 30.1839 1.00336 60.9835
244 6.0875 0.973255 62.001 0.967526 30.5612 1.00435 61.7678
245 6.1125 0.972078 62.767 0.972653 30.9437 1.00522 62.5591
246 6.1375 0.971223 63.5386 0.977447 31.3312 1.00604 63.3576
247 6.1625 0.970657 64.3161 0.982246 31.7238 1.00652 64.163
248 6.1875 0.970083 65.0994 0.986914 32.1215 1.00683 64.9752
249 6.2125 0.969885 65.8889 0.99155 32.5243 1.00717 65.7942
250 6.2375 0.96959 66.6845 0.995667 32.932 1.00735 66.62
251 6.2625 0.969741 67.4866 1.00014 33.3448 1.00719 67.4523
252 6.2875 0.970043 68.2954 1.00467 33.7629 1.00713 68.2912
253 6.3125 0.970707 69.1112 1.00852 34.1858 1.00695 69.1367
254 6.3375 0.971262 69.934 1.01157 34.6134 1.00661 69.9885
255 6.3625 0.972084 70.7639 1.01508 35.0459 1.00639 70.8469
256 6.3875 0.973137 71.6013 1.01846 35.4833 1.00619 71.7119
257 6.4125 0.974373 72.4464 1.02188 35.9255 1.00579 72.5834
258 6.4375 0.975278 73.2988 1.02463 36.3724 1.00531 73.4612
259 6.4625 0.976635 74.1591 1.02715 36.8239 1.00472 74.3453
260 6.4875 0.978262 75.0274 1.03012 37.2802 1.00425 75.2359
261 6.5125 0.979749 75.9038 1.03247 37.7411 1.00368 76.1328
262 6.5375 0.981508 76.7886 1.03525 38.2068 1.00322 77.0362
263 6.5625 0.983115 77.6815 1.03729 38.677 1.00279 77.9462
264 6.5875 0.984819 78.5829 1.03944 39.1517 1.0023 78.8627
265 6.6125 0.986649 79.4928 1.04142 39.631 1.00194 79.7857
266 6.6375 0.988359 80.4112 1.04259 40.1144 1.00152 80.7154
267 6.6625 0.990252 81.3382 1.04364 40.602 1.00141 81.652
268 6.6875 0.991981 82.2739 1.04466 41.0937 1.001 82.5953
269 6.7125 0.993901 83.2184 1.04615 41.5898 1.00078 83.5454
270 6.7375 0.995608 84.1716 1.04683 42.0899 1.00049 84.5024
271 6.7625 0.997113 85.1334 1.04697 42.5939 1.00042 85.4663
272 6.7875 0.999021 86.1041 1.04743 43.1017 1.00031 86.4373
273 6.8125 1.00059 87.0835 1.04756 43.6134 0.999967 87.4152
274 6.8375 1.00229 88.0718 1.04772 44.129 1 88.4003
275 6.8625 1.00408 89.0691 1.04713 44.648 0.999898 89.3924
276 6.8875 1.00563 90.0752 1.04723 45.1708 1.00019 90.3922
277 6.9125 1.00718 91.0902 1.04645 45.6971 1.00045 91.3994
278 6.9375 1.00845 92.1139 1.04637 46.2272 1.00041 92.4139
279 6.9625 1.01001 93.1465 1.04502 46.7603 1.00045 93.4358
280 6.9875 1.01128 94.1879 1.04382 47.2967 1.00069 94.4653
281 7.0125 1.01255 95.2381 1.04288 47.8365 1.00101 95.5024
282 7.0375 1.01358 96.2968 1.04137 48.3793 1.00124 96.5473
283 7.0625 1.01494 97.3645 1.03977 48.9251 1.00147 97.5998
