# Time-averaged data for fix outO
# TimeStep Number-of-rows
# Row c_grO[1] c_grO[2] c_grO[3] c_grO[4] c_grO[5]
20000000 400
331 8.2625 1.01662 77.1599 1.00712 154.361
332 8.2875 1.01502 77.8951 1.00832 155.821
333 8.3125 1.01491 78.6346 1.008 157.29
334 8.3375 1.01317 79.3773 1.00806 158.768
335 8.3625 1.01237 80.1239 1.00728 160.254
336 8.3875 1.01206 80.8747 1.00747 161.749
337 8.4125 1.01437 81.6317 1.00864 163.254
338 8.4375 1.01693 82.3952 1.00795 164.768
339 8.4625 1.01702 83.1632 1.00898 166.291
340 8.4875 1.01436 83.9338 1.01082 167.827
341 8.5125 1.01154 84.7068 1.00856 169.369
342 8.5375 1.01161 85.4843 1.01011 170.921
343 8.5625 1.01365 86.268 1.01033 172.484
344 8.5875 1.0128 87.0557 1.01084 174.056
345 8.6125 1.01015 87.8458 1.01141 175.638
346 8.6375 1.0151 88.6445 1.01265 177.232
347 8.6625 1.01463 89.4474 1.01164 178.833
348 8.6875 1.01509 90.2553 1.0141 180.447
349 8.7125 1.01431 91.0672 1.01325 182.069
350 8.7375 1.01344 91.8831 1.01354 183.701
351 8.7625 1.01285 92.7032 1.0144 185.344
352 8.7875 1.01082 93.5263 1.01421 186.996
353 8.8125 1.0112 94.3545 1.01058 188.651
354 8.8375 1.01199 95.188 1.01379 190.321
355 8.8625 1.0113 96.0256 1.01304 191.999
356 8.8875 1.01192 96.8685 1.00985 193.681
357 8.9125 1.01525 97.7189 1.00986 195.373
358 8.9375 1.00728 98.5674 1.01253 197.079
359 8.9625 1.00832 99.4215 1.01185 198.793
360 8.9875 1.01163 100.283 1.01244 200.518
361 9.0125 1.00887 101.147 1.01203 202.252
362 9.0375 1.01216 102.019 1.01216 203.995
363 9.0625 1.0102 102.894 1.01102 205.746
364 9.0875 1.01142 103.775 1.01158 207.508
365 9.1125 1.00605 104.656 1.01331 209.283
366 9.1375 1.01148 105.546 1.01167 211.065
367 9.1625 1.01391 106.444 1.01328 212.859
368 9.1875 1.01291 107.346 1.01089 214.658
369 9.2125 1.01586 108.255 1.01491 216.475
370 9.2375 1.01439 109.168 1.00941 218.292
371 9.2625 1.01281 110.084 1.0101 220.119
372 9.2875 1.01202 111.005 1.01209 221.961
373 9.3125 1.01034 111.929 1.00871 223.806
374 9.3375 1.00995 112.857 1.01128 225.665
375 9.3625 1.01173 113.792 1.00953 227.532
376 9.3875 1.01098 114.732 1.00924 229.407
377 9.4125 1.01301 115.678 1.01036 231.295
378 9.4375 1.01055 116.628 1.01033 233.193
379 9.4625 1.00683 117.578 1.01021 235.101
380 9.4875 1.00823 118.535 1.00836 237.015
381 9.5125 1.00408 119.493 1.00603 238.935
382 9.5375 1.00639 120.459 1.0083 240.87
383 9.5625 1.00755 121.43 1.00894 242.816
384 9.5875 1.00982 122.409 1.00648 244.767
385 9.6125 1.00994 123.393 1.00748 246.73
386 9.6375 1.01109 124.384 1.0074 248.704
387 9.6625 1.01294 125.381 1.00792 250.688
388 9.6875 1.00798 126.378 1.00669 252.681
389 9.7125 1.00745 127.381 1.00834 254.687
390 9.7375 1.00582 128.386 1.00679 256.701
391 9.7625 1.00192 129.393 1.0068 258.724
392 9.7875 1.00077 130.404 1.0094 260.764
393 9.8125 1.00277 131.423 1.00572 262.806
394 9.8375 1.004 132.447 1.00669 264.861
395 9.8625 1.00063 133.474 1.00804 266.929
396 9.8875 0.999005 134.503 1.00618 269.003
397 9.9125 0.998344 135.538 1.00679 271.09
398 9.9375 0.998846 136.578 1.0067 273.187
399 9.9625 1.00379 137.629 1.00761 275.296
400 9.9875 1.00179 138.683 1.00667 277.414
