# Time-averaged data for fix outC
# TimeStep Number-of-rows
# Row c_grC[1] c_grC[2] c_grC[3] c_grC[4] c_grC[5]
20000000 400
330 8.2375 1.00533 76.7869 1.00622 153.446
331 8.2625 1.00656 77.5115 1.00943 154.899
332 8.2875 1.00817 78.2417 1.00259 156.351
333 8.3125 1.0083 78.9764 1.00583 157.817
334 8.3375 0.999433 79.7091 1.00224 159.287
335 8.3625 0.996721 80.4441 1.0055 160.77
336 8.3875 0.998923 81.1852 1.00677 162.264
337 8.4125 1.00094 81.9322 1.0051 163.764
338 8.4375 1.00176 82.6843 1.00448 165.272
339 8.4625 0.994636 83.4354 1.00301 166.787
340 8.4875 1.0034 84.1977 1.00549 168.315
341 8.5125 0.996007 84.9588 1.00291 169.847
342 8.5375 0.997013 85.7251 1.00441 171.391
343 8.5625 0.996424 86.4955 0.99883 172.936
344 8.5875 1.00016 87.2733 1.00122 174.493
345 8.6125 1.0008 88.0561 1.00091 176.059
346 8.6375 0.999545 88.8425 1.00213 177.636
347 8.6625 0.994245 89.6293 1.00009 179.219
348 8.6875 1.00137 90.4263 1.00279 180.815
349 8.7125 1.00021 91.2269 1.00145 182.418
350 8.7375 1.00215 92.0337 1.00296 184.033
351 8.7625 0.996073 92.8403 1.00119 185.654
352 8.7875 0.997168 93.6523 1.00218 187.287
353 8.8125 0.994644 94.4669 1.00307 188.93
354 8.8375 0.999212 95.2898 1.00265 190.581
355 8.8625 0.997464 96.116 1.00625 192.248
356 8.8875 1.00092 96.9497 1.0049 193.922
357 8.9125 0.999608 97.7871 1.00565 195.607
358 8.9375 0.999396 98.6289 1.00809 197.305
359 8.9625 1.00243 99.478 1.00511 199.008
360 8.9875 1.00646 100.335 1.00545 200.721
361 9.0125 1.00504 101.196 1.00902 202.45
362 9.0375 0.999577 102.057 1.0083 204.186
363 9.0625 1.00021 102.923 1.00361 205.925
364 9.0875 1.00269 103.797 1.00786 207.68
365 9.1125 0.99686 104.67 1.00871 209.447
366 9.1375 0.999034 105.549 1.00935 211.224
367 9.1625 1.00576 106.44 1.00732 213.008
368 9.1875 1.00115 107.331 1.00279 214.793
369 9.2125 0.999532 108.225 0.997859 216.579
370 9.2375 0.996285 109.122 0.998602 218.377
371 9.2625 0.999077 110.026 0.996192 220.179
372 9.2875 1.00038 110.936 1.00047 221.999
373 9.3125 1.00553 111.855 0.998604 223.826
374 9.3375 1.01117 112.785 0.99815 225.661
375 9.3625 1.00692 113.716 1.00033 227.511
376 9.3875 1.00472 114.65 1.00146 229.372
377 9.4125 1.0019 115.586 1.00306 231.246
378 9.4375 1.00225 116.527 1.00278 233.13
379 9.4625 1.00492 117.476 1.00008 235.018
380 9.4875 1.00771 118.432 1.00614 236.929
381 9.5125 1.00867 119.395 1.00333 238.843
382 9.5375 1.00709 120.361 1.00527 240.772
383 9.5625 1.00218 121.327 1.0023 242.705
384 9.5875 1.00729 122.304 1.00493 244.653
385 9.6125 1.00493 123.283 1.00506 246.612
