# Time-averaged data for fix outO
# TimeStep Number-of-rows
# Row c_grO[1] c_grO[2] c_grO[3] c_grO[4] c_grO[5]
20000000 400
381 9.5125 0.994165 121.021 0.996877 242.179
382 9.5375 0.991767 121.972 0.998157 244.094
383 9.5625 0.991496 122.928 0.997189 246.017
384 9.5875 0.994226 123.892 0.998177 247.953
385 9.6125 0.995276 124.862 0.997222 249.896
386 9.6375 0.989493 125.831 0.996478 251.848
387 9.6625 0.989557 126.805 0.996587 253.81
388 9.6875 0.990577 127.786 0.9958 255.781
389 9.7125 0.990975 128.772 0.995749 257.762
390 9.7375 0.990999 129.762 0.996524 259.755
391 9.7625 0.993775 130.761 0.997076 261.76
392 9.7875 0.997381 131.769 0.994707 263.769
393 9.8125 0.996056 132.78 0.995947 265.792
394 9.8375 1.00163 133.802 0.993644 267.82
395 9.8625 1.00305 134.831 0.996377 269.864
396 9.8875 1.00486 135.867 0.996865 271.919
397 9.9125 1.00649 136.91 0.996288 273.984
398 9.9375 1.00682 137.959 0.995567 276.058
399 9.9625 1.00483 139.01 0.997347 278.145
400 9.9875 1.00491 140.067 0.995963 280.241
