# Time-averaged data for fix outN
# TimeStep Number-of-rows
# Row c_grN[1] c_grN[2] c_grN[3] c_grN[4] c_grN[5]
20000000 400
300 7.4875 1.01334 58.9219 1.02751 117.301
301 7.5125 1.01494 59.526 1.02675 118.523
302 7.5375 1.01159 60.1321 1.02949 119.756
303 7.5625 1.00892 60.7405 1.03129 121
304 7.5875 1.0105 61.354 1.03127 122.253
305 7.6125 1.00688 61.9693 1.03178 123.514
306 7.6375 1.00903 62.59 1.03284 124.784
307 7.6625 1.01811 63.2204 1.02644 126.055
308 7.6875 1.01425 63.8525 1.02991 127.339
309 7.7125 1.0083 64.485 1.03069 128.632
310 7.7375 1.00845 65.1217 1.02586 129.927
311 7.7625 1.00581 65.7608 1.02888 131.235
312 7.7875 1.00206 66.4016 1.029 132.551
313 7.8125 1.00289 67.0471 1.02185 133.867
314 7.8375 1.0066 67.6992 1.02512 135.195
315 7.8625 0.993223 68.3467 1.0252 136.531
316 7.8875 0.994123 68.9989 1.02251 137.873
317 7.9125 0.995258 69.656 1.02159 139.222
318 7.9375 0.994356 70.3166 1.02063 140.578
319 7.9625 0.995444 70.9822 1.01711 141.938
320 7.9875 0.994729 71.6514 1.01924 143.31
321 8.0125 0.995584 72.3255 1.01543 144.685
322 8.0375 0.992211 73.0014 1.01223 146.064
323 8.0625 0.990203 73.6802 1.00904 147.447
324 8.0875 0.988469 74.362 1.00955 148.84
325 8.1125 0.989742 75.0489 1.00677 150.237
326 8.1375 0.986584 75.7378 1.00503 151.641
327 8.1625 0.987154 76.4314 1.00443 153.052
328 8.1875 0.987133 77.1292 1.00372 154.472
329 8.2125 0.989997 77.8333 1.00081 155.895
330 8.2375 0.99336 78.5442 1.00167 157.329
331 8.2625 0.996651 79.2617 1.00093 158.77
332 8.2875 0.992096 79.9802 1.00065 160.219
333 8.3125 0.992032 80.7031 0.995048 161.67
334 8.3375 0.984973 81.4252 0.993288 163.126
335 8.3625 0.988863 82.1544 0.992951 164.59
336 8.3875 0.982815 82.8835 0.991509 166.061
337 8.4125 0.984767 83.6185 0.991752 167.542
338 8.4375 0.989024 84.361 0.988644 169.026
339 8.4625 0.987122 85.1064 0.991991 170.525
340 8.4875 0.992491 85.8604 0.986877 172.024
341 8.5125 0.99585 86.6214 0.988459 173.535
342 8.5375 1.00095 87.3908 0.993054 175.061
343 8.5625 0.995403 88.1604 0.989201 176.591
344 8.5875 0.993409 88.9329 0.987227 178.126
345 8.6125 0.998734 89.7141 0.990846 179.676
346 8.6375 0.99591 90.4977 0.987403 181.23
347 8.6625 1.00216 91.2907 0.990593 182.798
348 8.6875 1.00111 92.0875 0.990208 184.374
349 8.7125 0.998326 92.8866 0.988029 185.956
350 8.7375 0.99849 93.6905 0.989435 187.549
351 8.7625 1.00187 94.5017 0.992109 189.156
352 8.7875 0.996007 95.3128 0.987856 190.764
353 8.8125 0.997807 96.1299 0.988704 192.384
354 8.8375 1.00002 96.9535 0.991189 194.017
355 8.8625 0.996685 97.7791 0.991029 195.658
356 8.8875 1.00004 98.6121 0.988691 197.305
357 8.9125 0.998486 99.4485 0.989166 198.963
358 8.9375 1.00248 100.293 0.986708 200.625
359 8.9625 1.00417 101.144 0.988598 202.3
360 8.9875 1.00648 102.001 0.989915 203.986
361 9.0125 1.00538 102.862 0.99117 205.684
362 9.0375 1.00058 103.724 0.989729 207.389
363 9.0625 1.00092 104.591 0.992889 209.109
364 9.0875 1.00312 105.464 0.9911 210.835
365 9.1125 0.996409 106.337 0.991858 212.572
366 9.1375 0.999693 107.217 0.994235 214.323
367 9.1625 0.997735 108.1 0.996278 216.087
368 9.1875 0.992655 108.984 0.994102 217.857
369 9.2125 0.995543 109.875 0.993336 219.635
370 9.2375 0.997296 110.772 0.994704 221.425
371 9.2625 1.00098 111.678 0.997855 223.231
372 9.2875 1.00169 112.589 0.997647 225.046
373 9.3125 1.00437 113.508 0.998757 226.872
374 9.3375 1.00242 114.429 0.999028 228.71
375 9.3625 0.99969 115.353 0.996469 230.552
376 9.3875 0.998677 116.282 0.998328 232.407
377 9.4125 0.998538 117.214 0.999713 234.275
378 9.4375 0.996545 118.15 1.00553 236.164
379 9.4625 0.99387 119.089 1.00266 238.058
380 9.4875 0.998705 120.037 1.00315 239.962
381 9.5125 1.00226 120.993 1.00443 241.879
382 9.5375 1.00294 121.955 1.00402 243.805
383 9.5625 1.00103 122.921 1.00323 245.74
384 9.5875 0.999083 123.889 1.00096 247.681
385 9.6125 0.997151 124.861 1.00104 249.631
386 9.6375 0.993659 125.834 1.00214 251.595
387 9.6625 0.998046 126.817 1.00327 253.57
388 9.6875 1.00135 127.808 1.0049 255.559
389 9.7125 1.00278 128.805 1.00211 257.553
390 9.7375 1.00545 129.811 1.00512 259.563
391 9.7625 1.00185 130.817 1.00286 261.579
392 9.7875 1.00036 131.828 1.00478 263.609
393 9.8125 1.00194 132.845 1.00286 265.645
394 9.8375 0.998383 133.864 1.00453 267.696
395 9.8625 1.00101 134.891 1.00242 269.752
396 9.8875 0.999199 135.921 1.00673 271.828
397 9.9125 0.993369 136.95 1.00414 273.909
398 9.9375 0.994167 137.986 1.00255 275.997
399 9.9625 0.996168 139.028 1.00003 278.09
400 9.9875 0.996254 140.076 0.998208 280.19
