# Time-averaged data for fix outH
# TimeStep Number-of-rows
# Row c_grH[1] c_grH[2] c_grH[3] c_grH[4] c_grH[5]
20000000 400
261 6.5125 1.03336 38.461 1.01164 76.9115
262 6.5375 1.02896 38.9247 1.00795 77.8201
263 6.5625 1.03006 39.3925 1.00828 78.7359
264 6.5875 1.02913 39.8635 1.01086 79.6611
265 6.6125 1.02645 40.3368 1.01134 80.5938
266 6.6375 1.02451 40.8128 1.01148 81.5336
267 6.6625 1.02539 41.2928 1.00972 82.4789
268 6.6875 1.02959 41.7783 1.00929 83.4309
269 6.7125 1.02572 42.2657 1.00887 84.3897
270 6.7375 1.02636 42.757 1.01167 85.3582
271 6.7625 1.02361 43.2507 1.01093 86.3333
272 6.7875 1.0253 43.7488 1.00907 87.3138
273 6.8125 1.01942 44.2477 1.00835 88.3008
274 6.8375 1.01633 44.7488 1.01075 89.2974
275 6.8625 1.02157 45.2561 1.01167 90.3023
276 6.8875 1.01782 45.7653 1.00814 91.3109
277 6.9125 1.0158 46.2771 1.00838 92.3271
278 6.9375 1.01414 46.7919 1.01068 93.353
279 6.9625 1.01354 47.31 1.01098 94.3867
280 6.9875 1.01306 47.8316 1.0064 95.423
281 7.0125 1.01378 48.3573 1.00933 96.4699
282 7.0375 1.01126 48.8855 1.00543 97.5201
283 7.0625 1.00831 49.4158 1.00711 98.5796
284 7.0875 1.00888 49.9503 1.00554 99.6449
285 7.1125 1.00261 50.4851 1.00478 100.717
286 7.1375 0.998523 51.0216 1.00496 101.797
287 7.1625 0.998756 51.5619 1.00744 102.887
288 7.1875 1.00159 52.1075 1.00665 103.984
289 7.2125 1.00033 52.6563 1.00571 105.087
290 7.2375 0.995298 53.2061 1.00431 106.197
291 7.2625 0.999161 53.7618 1.00262 107.312
292 7.2875 0.994136 54.3186 1.00435 108.437
293 7.3125 0.995454 54.8799 1.0023 109.567
294 7.3375 0.992974 55.4437 1.00194 110.705
295 7.3625 0.991222 56.0103 1.00375 111.852
296 7.3875 0.994128 56.5824 1.00305 113.007
297 7.4125 0.990192 57.1562 1.00436 114.171
298 7.4375 0.989252 57.7332 1.00218 115.34
299 7.4625 0.989801 58.3145 1.00246 116.518
300 7.4875 0.983086 58.8957 1.00037 117.7
301 7.5125 0.983292 59.4809 1.00095 118.892
302 7.5375 0.983081 60.0699 0.999982 120.09
303 7.5625 0.984399 60.6636 0.999623 121.296
304 7.5875 0.983987 61.261 0.999451 122.509
305 7.6125 0.984767 61.8628 0.999087 123.73
306 7.6375 0.982037 62.4669 0.997947 124.958
307 7.6625 0.98207 63.075 1.00124 126.198
308 7.6875 0.985024 63.6888 0.999356 127.444
309 7.7125 0.982156 64.3049 0.997608 128.695
310 7.7375 0.986223 64.9276 0.998388 129.956
311 7.7625 0.986721 65.5546 0.998236 131.225
312 7.7875 0.990735 66.1882 0.994014 132.496
313 7.8125 0.987379 66.8237 0.998224 133.781
314 7.8375 0.987978 67.4637 0.994921 135.07
315 7.8625 0.991308 68.1099 0.994144 136.366
316 7.8875 0.990417 68.7597 0.996843 137.674
317 7.9125 0.989404 69.4129 0.996684 138.99
318 7.9375 0.990596 70.0711 0.997092 140.315
319 7.9625 0.993477 70.7353 0.992865 141.643
320 7.9875 0.994655 71.4045 0.994376 142.981
321 8.0125 0.993502 72.0771 0.992013 144.324
322 8.0375 0.993445 72.7539 0.993962 145.678
323 8.0625 0.995757 73.4365 0.992044 147.038
324 8.0875 0.995465 74.1231 0.994656 148.41
325 8.1125 0.996824 74.8149 0.99254 149.788
326 8.1375 0.997812 75.5117 0.991928 151.173
327 8.1625 0.99641 76.2118 0.991206 152.566
328 8.1875 0.995665 76.9157 0.989868 153.966
329 8.2125 0.999532 77.6266 0.992712 155.378
330 8.2375 0.998009 78.3407 0.992685 156.799
331 8.2625 1.00039 79.0609 0.993861 158.23
332 8.2875 0.999768 79.785 0.995045 159.671
333 8.3125 1.00019 80.5138 0.993059 161.118
334 8.3375 1.00085 81.2475 0.994818 162.577
335 8.3625 0.999621 81.9847 0.994381 164.043
336 8.3875 1.00086 82.7272 0.996652 165.522
337 8.4125 0.999601 83.4732 0.996782 167.01
338 8.4375 0.998725 84.223 0.994574 168.503
339 8.4625 1.00085 84.9789 0.995162 170.006
340 8.4875 1.0006 85.739 0.995698 171.519
341 8.5125 1.00125 86.5041 0.99712 173.043
342 8.5375 1.00159 87.274 0.997556 174.577
343 8.5625 1.00305 88.0495 0.997897 176.12
344 8.5875 1.00587 88.8317 0.996917 177.67
345 8.6125 1.00204 89.6155 0.998165 179.232
346 8.6375 1.00179 90.4037 0.998239 180.803
347 8.6625 1.0015 91.1962 0.998874 182.383
348 8.6875 1.00274 91.9942 0.999473 183.974
349 8.7125 0.999689 92.7945 1.00177 185.578
350 8.7375 1.00141 93.6007 0.999048 187.187
351 8.7625 1.00219 94.4122 0.999174 188.805
352 8.7875 1.00292 95.2289 0.99942 190.433
