# Time-averaged data for fix outW
# TimeStep Number-of-rows
# Row c_grW[1] c_grW[2] c_grW[3] c_grW[4] c_grW[5] c_grW[6] c_grW[7]
20000000 400
217 5.4125 1.01734 45.0861 0.929372 21.8033 0.959162 44.1541
218 5.4375 1.01741 45.7205 0.924677 22.091 0.959545 44.7519
219 5.4625 1.01749 46.3609 0.920755 22.3802 0.960154 45.3556
220 5.4875 1.01714 47.0068 0.9167 22.6707 0.961266 45.9655
221 5.5125 1.01666 47.6584 0.913048 22.9628 0.962555 46.5818
222 5.5375 1.01637 48.3157 0.911164 23.2568 0.96405 47.2047
223 5.5625 1.01527 48.9783 0.908534 23.5527 0.965658 47.8342
224 5.5875 1.01434 49.6462 0.907374 23.8508 0.967334 48.4706
225 5.6125 1.01291 50.3191 0.906355 24.1513 0.969204 49.1138
226 5.6375 1.01134 50.997 0.905959 24.4544 0.971312 49.7643
227 5.6625 1.00983 51.6799 0.905366 24.7599 0.973367 50.4219
228 5.6875 1.00785 52.3675 0.906459 25.0685 0.975415 51.0867
229 5.7125 1.00598 53.0599 0.908049 25.3804 0.977916 51.7591
230 5.7375 1.00379 53.7568 0.909854 25.6956 0.980176 52.4389
231 5.7625 1.00142 54.4582 0.912264 26.0144 0.982509 53.1264
232 5.7875 0.998868 55.1638 0.915247 26.3371 0.984626 53.8213
233 5.8125 0.99655 55.8739 0.918838 26.6638 0.987001 54.5239
234 5.8375 0.994378 56.5886 0.922148 26.9946 0.988945 55.234
235 5.8625 0.991602 57.3074 0.926421 27.3297 0.991123 55.9517
236 5.8875 0.989097 58.0305 0.930607 27.6692 0.993191 56.6771
237 5.9125 0.986722 58.758 0.934751 28.0131 0.995219 57.4101
238 5.9375 0.984573 59.49 0.939129 28.3615 0.997133 58.1508
239 5.9625 0.982413 60.2267 0.944351 28.7149 0.998807 58.899
240 5.9875 0.980489 60.968 0.948247 29.0727 1.00041 59.6547
241 6.0125 0.978606 61.7141 0.95376 29.4356 1.00191 60.4178
242 6.0375 0.976828 62.4651 0.958651 29.8033 1.00301 61.1882
243 6.0625 0.975285 63.2211 0.963379 30.176 1.00438 61.966
244 6.0875 0.973991 63.9824 0.968566 30.5538 1.00514 62.7508
245 6.1125 0.972766 64.7489 0.973434 30.9366 1.00577 63.5426
246 6.1375 0.971858 65.5211 0.978489 31.3245 1.0066 64.3415
247 6.1625 0.970993 66.2988 0.983208 31.7175 1.00694 65.1473
248 6.1875 0.970364 67.0823 0.987641 32.1155 1.00712 65.9597
249 6.2125 0.970315 67.8722 0.991987 32.5184 1.00767 66.7791
250 6.2375 0.970156 68.6682 0.996453 32.9264 1.0076 67.6051
251 6.2625 0.970326 69.4709 1.00044 33.3394 1.00749 68.4377
252 6.2875 0.970752 70.2803 1.00423 33.7572 1.00743 69.2768
253 6.3125 0.971107 71.0964 1.00813 34.18 1.00701 70.1223
254 6.3375 0.971932 71.9197 1.01177 34.6077 1.00692 70.9745
255 6.3625 0.972652 72.7502 1.01511 35.0402 1.00655 71.833
256 6.3875 0.973565 73.5879 1.01831 35.4775 1.00607 72.6979
257 6.4125 0.974457 74.433 1.0213 35.9195 1.0058 73.5693
258 6.4375 0.975848 75.286 1.02441 36.3663 1.00523 74.4471
259 6.4625 0.977224 76.1467 1.0278 36.8181 1.00497 75.3314
260 6.4875 0.978575 77.0154 1.03073 37.2747 1.00439 76.2221
261 6.5125 0.980202 77.8922 1.03332 37.7359 1.00382 77.1192
262 6.5375 0.98165 78.7771 1.03576 38.2018 1.00345 78.0228
263 6.5625 0.983224 79.6701 1.03777 38.6722 1.00267 78.9327
264 6.5875 0.985173 80.5718 1.03917 39.1468 1.00217 79.849
265 6.6125 0.986751 81.4818 1.04102 39.6259 1.00191 80.7721
266 6.6375 0.988591 82.4004 1.04212 40.1091 1.00134 81.7016
267 6.6625 0.990217 83.3274 1.044 40.5969 1.00095 82.6378
268 6.6875 0.99202 84.2631 1.04554 41.089 1.00075 83.5808
269 6.7125 0.993618 85.2074 1.04624 41.5852 1.00042 84.5306
270 6.7375 0.995483 86.1604 1.0472 42.0855 1.00007 85.4871
271 6.7625 0.99726 87.1223 1.04715 42.5895 1.00011 86.4508
272 6.7875 0.998916 88.0929 1.04763 43.0975 0.999848 87.4213
273 6.8125 1.00062 89.0724 1.04816 43.6095 1.00004 88.3992
274 6.8375 1.0023 90.0607 1.04834 44.1253 0.999788 89.3841
275 6.8625 1.0038 91.0577 1.04755 44.6445 0.999897 90.3763
276 6.8875 1.00526 92.0635 1.04731 45.1674 0.999918 91.3757
277 6.9125 1.00677 93.0781 1.04655 45.6937 0.999887 92.3824
278 6.9375 1.00811 94.1014 1.04525 46.2232 1.00006 93.3966
279 6.9625 1.00958 95.1336 1.0447 46.7562 1.00024 94.4182
280 6.9875 1.0108 96.1745 1.04351 47.2925 1.00048 95.4475
281 7.0125 1.01215 97.2242 1.04237 47.8319 1.00054 96.4842
282 7.0375 1.01316 98.2825 1.04086 48.3745 1.00102 97.5288
283 7.0625 1.01448 99.3498 1.03914 48.92 1.00086 98.5806
284 7.0875 1.01551 100.426 1.03742 49.4685 1.00135 99.6405
285 7.1125 1.01632 101.51 1.03612 50.0201 1.00154 100.708
286 7.1375 1.01739 102.603 1.03442 50.5748 1.00195 101.784
287 7.1625 1.01824 103.705 1.03207 51.132 1.00198 102.867
288 7.1875 1.01902 104.815 1.03028 51.6922 1.00222 103.958
289 7.2125 1.01975 105.934 1.0279 52.255 1.00267 105.057
290 7.2375 1.02029 107.061 1.02563 52.8204 1.00306 106.164
291 7.2625 1.02083 108.197 1.02355 53.3886 1.00327 107.279
292 7.2875 1.02111 109.34 1.02138 53.9595 1.00333 108.401
293 7.3125 1.02157 110.493 1.01964 54.5334 1.00369 109.532
294 7.3375 1.02172 111.653 1.01745 55.1099 1.00397 110.671
295 7.3625 1.02211 112.821 1.0153 55.6892 1.00413 111.818
296 7.3875 1.022 113.998 1.01336 56.2712 1.00452 112.973
297 7.4125 1.02174 115.182 1.01061 56.8556 1.00464 114.136
298 7.4375 1.02196 116.374 1.00845 57.4428 1.00488 115.307
299 7.4625 1.02167 117.574 1.00667 58.0328 1.00508 116.487
300 7.4875 1.02138 118.782 1.00477 58.6257 1.00524 117.674
301 7.5125 1.02075 119.997 1.00281 59.2213 1.0054 118.87
302 7.5375 1.02062 121.22 1.00074 59.8197 1.00564 120.074
303 7.5625 1.01994 122.45 0.999281 60.4212 1.00573 121.285
304 7.5875 1.01925 123.688 0.998227 61.0261 1.00589 122.506
305 7.6125 1.01842 124.932 0.996629 61.6339 1.00595 123.734
306 7.6375 1.01808 126.185 0.995272 62.245 1.00631 124.971
307 7.6625 1.01713 127.444 0.994268 62.8594 1.00627 126.216
308 7.6875 1.01622 128.711 0.993264 63.4772 1.00636 127.469
309 7.7125 1.01525 129.985 0.991422 64.0978 1.00668 128.73
310 7.7375 1.01444 131.266 0.990794 64.7222 1.00662 130
311 7.7625 1.01321 132.553 0.989986 65.35 1.00695 131.279
312 7.7875 1.0124 133.848 0.989408 65.9815 1.00691 132.565
313 7.8125 1.01142 135.15 0.988689 66.6166 1.007 133.86
314 7.8375 1.0102 136.459 0.987847 67.2553 1.00705 135.164
315 7.8625 1.00914 137.775 0.987768 67.898 1.00701 136.475
316 7.8875 1.0079 139.097 0.987633 68.5446 1.00714 137.796
317 7.9125 1.00688 140.427 0.986938 69.195 1.00714 139.124
318 7.9375 1.00572 141.763 0.986748 69.8493 1.00708 140.461
319 7.9625 1.00442 143.106 0.986685 70.5077 1.0072 141.807
320 7.9875 1.00354 144.456 0.986675 71.1702 1.00713 143.16
321 8.0125 1.00222 145.814 0.986399 71.8367 1.00703 144.523
322 8.0375 1.00107 147.177 0.986756 72.5077 1.00678 145.893
323 8.0625 1.00011 148.549 0.986678 73.1827 1.00658 147.272
324 8.0875 0.99914 149.927 0.987162 73.8623 1.00661 148.659
325 8.1125 0.997982 151.312 0.987031 74.546 1.00622 150.054
326 8.1375 0.997143 152.705 0.987517 75.2342 1.00615 151.458
327 8.1625 0.996204 154.105 0.988145 75.9271 1.00609 152.871
328 8.1875 0.99527 155.512 0.988486 76.6245 1.00575 154.291
329 8.2125 0.994365 156.926 0.988974 77.3266 1.00532 155.72
330 8.2375 0.993502 158.348 0.989425 78.0332 1.00527 157.157
331 8.2625 0.992843 159.778 0.990208 78.7447 1.00481 158.602
332 8.2875 0.992138 161.215 0.990724 79.4608 1.00439 160.056
333 8.3125 0.991474 162.66 0.991463 80.1819 1.00398 161.518
334 8.3375 0.991035 164.113 0.992572 80.9081 1.00379 162.988
335 8.3625 0.990406 165.574 0.992686 81.6387 1.00334 164.466
336 8.3875 0.989872 167.042 0.993727 82.3745 1.00309 165.953
337 8.4125 0.989231 168.519 0.994214 83.115 1.00276 167.448
338 8.4375 0.98909 170.004 0.995065 83.8606 1.00229 168.952
339 8.4625 0.988845 171.497 0.995481 84.6109 1.00182 170.464
340 8.4875 0.988339 172.999 0.996132 85.3662 1.00135 171.984
341 8.5125 0.988322 174.51 0.997074 86.1266 1.00109 173.512
342 8.5375 0.988185 176.029 0.997709 86.892 1.00061 175.049
343 8.5625 0.988071 177.557 0.99844 87.6624 1.0002 176.594
344 8.5875 0.988207 179.094 0.998371 88.4373 0.999745 178.147
345 8.6125 0.988072 180.639 0.998652 89.2169 0.999422 179.709
346 8.6375 0.988215 182.194 0.999447 90.0017 0.998901 181.279
347 8.6625 0.988442 183.759 0.999709 90.7913 0.998431 182.858
348 8.6875 0.98863 185.332 1.00017 91.5857 0.998027 184.445
349 8.7125 0.98888 186.915 1.00043 92.385 0.997939 186.041
350 8.7375 0.989157 188.508 1.00065 93.189 0.997443 187.646
351 8.7625 0.989599 190.111 1.00108 93.998 0.997169 189.259
352 8.7875 0.989936 191.723 1.0019 94.8123 0.996895 190.881
353 8.8125 0.990375 193.345 1.00201 95.6313 0.996634 192.512
354 8.8375 0.990692 194.977 1.00241 96.4553 0.996282 194.151
355 8.8625 0.991202 196.619 1.00256 97.2841 0.996099 195.8
356 8.8875 0.991516 198.271 1.00247 98.1175 0.995982 197.457
357 8.9125 0.992172 199.933 1.00238 98.9555 0.995677 199.124
358 8.9375 0.992489 201.605 1.00284 99.7986 0.995594 200.8
359 8.9625 0.99299 203.287 1.00333 100.647 0.995463 202.484
360 8.9875 0.993735 204.98 1.00367 101.5 0.995234 204.178
361 9.0125 0.994016 206.683 1.00345 102.358 0.995173 205.881
362 9.0375 0.994549 208.396 1.0037 103.221 0.995172 207.594
363 9.0625 0.995202 210.12 1.00382 104.088 0.995082 209.316
364 9.0875 0.995547 211.854 1.00375 104.961 0.995099 211.047
365 9.1125 0.996218 213.599 1.00371 105.838 0.995142 212.789
366 9.1375 0.996634 215.354 1.00387 106.72 0.99516 214.539
367 9.1625 0.997013 217.119 1.00377 107.607 0.995089 216.3
368 9.1875 0.997478 218.895 1.0033 108.498 0.995382 218.07
369 9.2125 0.997989 220.681 1.00303 109.394 0.99541 219.85
370 9.2375 0.9985 222.478 1.00316 110.295 0.995546 221.64
371 9.2625 0.999095 224.286 1.00273 111.201 0.995751 223.44
372 9.2875 0.999322 226.104 1.00244 112.111 0.99592 225.25
373 9.3125 0.999979 227.933 1.00247 113.026 0.996034 227.07
374 9.3375 1.00035 229.773 1.00262 113.946 0.996228 228.9
375 9.3625 1.00072 231.623 1.00263 114.871 0.996339 230.74
376 9.3875 1.00103 233.484 1.0025 115.801 0.996525 232.591
377 9.4125 1.00141 235.355 1.00241 116.735 0.996982 234.452
378 9.4375 1.00166 237.236 1.00252 117.675 0.997097 236.323
379 9.4625 1.0018 239.128 1.00237 118.62 0.99738 238.205
380 9.4875 1.00186 241.03 1.00236 119.569 0.997597 240.097
381 9.5125 1.00241 242.943 1.00218 120.524 0.997757 241.999
382 9.5375 1.00249 244.866 1.00176 121.483 0.998087 243.912
383 9.5625 1.00267 246.8 1.00157 122.447 0.998504 245.836
384 9.5875 1.00274 248.744 1.00167 123.416 0.998709 247.77
385 9.6125 1.00293 250.699 1.00152 124.39 0.999046 249.715
386 9.6375 1.00307 252.664 1.00129 125.369 0.999245 251.671
387 9.6625 1.00312 254.639 1.00111 126.352 0.999481 253.637
388 9.6875 1.00317 256.625 1.00102 127.341 0.999933 255.614
389 9.7125 1.0031 258.62 1.0012 128.335 0.999934 257.602
390 9.7375 1.00328 260.627 1.00117 129.334 1.00033 259.6
391 9.7625 1.00321 262.643 1.00137 130.339 1.00061 261.609
392 9.7875 1.00338 264.67 1.00124 131.348 1.00071 263.629
393 9.8125 1.00339 266.708 1.00087 132.363 1.00106 265.66
394 9.8375 1.00341 268.756 1.00127 133.382 1.00118 267.702
395 9.8625 1.00322 270.814 1.00105 134.407 1.00132 269.754
396 9.8875 1.00321 272.883 1.00106 135.437 1.00158 271.817
397 9.9125 1.00311 274.962 1.00154 136.473 1.00177 273.891
398 9.9375 1.00317 277.051 1.00176 137.514 1.00211 275.976
399 9.9625 1.00304 279.151 1.00108 138.56 1.00232 278.072
400 9.9875 1.00289 281.261 1.00163 139.611 1.00247 280.179
